"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"decretalium compilatio","W2978","A4320"
"mimus","W2979","A5237"
"sententiarum liber quartus (appendix ix) (dub.)","W2590","A5183"
"differentiarum, sive de proprietate sermonum, liber (appendix xxiii)","W2588","A5183"
"hymnus eidem ab eodem missus","W2545","A5124"
"epistulae ad traianum","W2313","A4904"
"carmina erotica","W1964","A4758"
"platonis timaeus commentaria","W1703","A4544"
"fragmenta","W1642","A4655"
"epigrammata","W1611","A4705"
"instituta artium","W1632","A4315"
"metrum parhemiacum tragicum","W1354","A5338"
"registri epistolarum [appendix]","W1279","A4981"
"excerpta ex patribus, collectanea","W1151","A5363"
"carmina dubia","W1169","A5363"
"nomina musarum","W700","A5314"
"precationes duae ante missam","W511","A5347"
"vita sanctae pelagiae","W456","A5198"
"sermones s. ambrosio ascripti","W484","A5347"
"sermones tres","W491","A5347"
"decreta ex epistolis excerpta","W272","A5381"
"glossae","W201","A5018"
"anastasii ad landuleum epistola, de scriptura (translationis stephenis martyris)","W175","A5103"
"fragmenta quae ad historiam francorum pertinent","W96","A4722"
"chronicum sive appendix ad gregorii turonensis historiam francorum","W65","A4722"
"liber de essentia patris et filii","W5301","A5124"
"de humilitate et obedientia et de calcanda superbia","W5321","A5032"
"de chorographia","W617","A5005"
"epistulae","W1811","A4768"
"discipline clericalis","W2321","A4775"
"de musis versus","W2425","A4479"
"in epistolam beati pauli ad colossenses","W519","A5347"
"liber de vitiorum virtutum conflictu","W5163","A5347"
"in epistolam beati pauli ad titum","W5162","A5347"
"epistola ad stephanum abbatem","W2477","A5362"
"sermones. de symbolo ad catechumenos sermo alius ii","W2194","A5497"
"sermones. de symbolo ad catechumenos sermo alius","W2191","A5497"
"sermones. de symbolo sermo ad catechumenos","W2197","A5497"
"sermones x [ex cod cassinen]. sanctissimo domino nostro pio papae vii","W2144","A5497"
"sermones dubii. de cataclysmo sermo ad catechumenos","W2135","A5497"
"sermones ad populum. sermo sancti presbyteri eraclii discipuli sancti augustini","W2127","A5497"
"sermonum fragmenta","W2140","A5497"
"sermones ad populum. classis v. sermones dubii","W2103","A5497"
"sermones quatuor","W2092","A5497"
"sermones inediti admixtis quibusdam dubiis","W2108","A5497"
"in epistolam beati pauli ad thessalonicenses secundam","W566","A5347"
"philosophorum breves epistolae","W577","A5347"
"in epistolam beati pauli ad timotheum primam","W546","A5347"
"de vocatione gentium libri duo","W550","A5347"
"in epistolam beati pauli ad timotheum secundam","W548","A5347"
"in epistolam beati pauli ad romanos","W552","A5347"
"in epistolam beati pauli ad philemonem","W516","A5347"
"in epistolam beati pauli ad galatas","W509","A5347"
"in epistolam beati pauli ad ephesios","W534","A5347"
"in epistolam beati pauli (ad romanos--ad corinthios primam--ad corinthios secundam-- ad galatas--ad ephesios--ad philippenses -- ad colossenses--ad thessalonices--ad timotheum --ad titum -- ad philemonem)","W512","A5347"
"expositio in septem visiones libri apocalypsis","W535","A5347"
"de moribus brachmanorum","W514","A5347"
"de excidio urbis hierosolymitanae libri quinque","W532","A5347"
"de dignitate sacerdotali libellus","W551","A5347"
"de concordia matthaei et lucae in genealogia christi","W515","A5347"
"commentaria in epistolas b. pauli","W533","A5347"
"ad virginem devotam","W553","A5347"
"in epistolam beati pauli ad thessalonicenses primam","W530","A5347"
"in epistolam beati pauli ad corinthios secundam","W526","A5347"
"exorcismus","W529","A5347"
"de trinitate","W486","A5347"
"de lapsu virginis consecratae liber","W506","A5347"
"commentarius in cantica canticorum","W507","A5347"
"in epistolam beati pauli ad corinthios primam","W493","A5347"
"acta s. sebastiani","W492","A5347"
"in epistolam beati pauli ad philippenses","W490","A5347"
"de dignitate conditionis humanae libellus","W488","A5347"
"quaestionum in pentateuchum","W2183","A5497"
"de vita eremitica ad sororem","W2160","A5497"
"de spiritu et anima","W2185","A5497"
"sermones ad populum. classis i. de scripturis","W2192","A5497"
"sermo arianorum","W2193","A5497"
"regulae clericis traditae fragmentum","W2158","A5497"
"libellus adversus fulgentium donatistam","W2156","A5497"
"sermones ad populum. classis iiii. de diversis.","W2141","A5497"
"sermones ad populum. classis ii. de tempore","W2195","A5497"
"sermo de unctione capitis et de pedibus lavandis","W2142","A5497"
"scriptura sacrae locutionum","W2165","A5497"
"regula secunda","W2151","A5497"
"regula ad servos dei","W2143","A5497"
"opusculum iiii sive sermo in circumcisione domini","W2161","A5497"
"opusculum iii sive homilia in dominica ii adventus","W2154","A5497"
"opusculum i sive liber de oratione","W2186","A5497"
"liber de divinis scripturis sive speculum","W2163","A5497"
