"author","deterministic_author"
"Dübner, Fr. 1802-1867,","{'authorized_name': 'dübner, fr. (friedrich), 1802-1867', 'author_id': 'A6094'}"
"Ekkehard IV, approximately 980-approximately 1060.","{'authorized_name': 'ekkehard iv, approximately 980-approximately 1060', 'author_id': 'A5299'}"
"Emili, Paolo, 1460-1529","{'authorized_name': 'emili, paolo, -1529', 'author_id': 'A3983'}"
"Enk, Petrus Joannes, 1885-","{'authorized_name': 'enk, petrus joannes, 1885-', 'author_id': 'A6147'}"
"Ennius, Quintus.","{'authorized_name': 'ennius, quintus', 'author_id': 'A4631'}"
"Ennodius, Magnus Felix, Saint, 474-521","{'authorized_name': 'ennodius, magnus felix, saint', 'author_id': 'A5313'}"
"Ennodius, Magnus Felix, Saint, 474-521.","{'authorized_name': 'ennodius, magnus felix, saint', 'author_id': 'A5313'}"
"Ephraem, Syrus, Saint, 303-373","{'authorized_name': 'ephraem, syrus, saint', 'author_id': 'A5288'}"
"Ephraem, Syrus, Saint, 303-373.","{'authorized_name': 'ephraem, syrus, saint', 'author_id': 'A5288'}"
"Erasmus, Desiderius 1467-1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, -1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, -1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, 1467-1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, 1467-1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, d. 1536","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erasmus, Desiderius, d. 1536.","{'authorized_name': 'erasmus, desiderius', 'author_id': 'A4743'}"
"Erigena, Johannes Scotus, ca. 810-ca. 877.","{'authorized_name': 'erigena, johannes scotus', 'author_id': 'A5230'}"
"Ernesti, August Wilhelm, 1733-1801.","{'authorized_name': 'ernesti, august wilhelm, 1733-1801', 'author_id': 'A5954'}"
"Ernesti, Johann August, 1707-1781.","{'authorized_name': 'ernesti, johann august, 1707-1781', 'author_id': 'A6055'}"
"Estienne, Robert, 1503?-1559","{'authorized_name': 'estienne, robert, 1503?-1559', 'author_id': 'A3558'}"
"Eucherius, of Lyon, Saint, -449?","{'authorized_name': 'eucherius, of lyon, saint', 'author_id': 'A5383'}"
"Euler, Leonhard, 1707-1783","{'authorized_name': 'euler, leonhard, 1707-1783', 'author_id': 'A4169'}"
"Euler, Leonhard, 1707-1783.","{'authorized_name': 'euler, leonhard, 1707-1783', 'author_id': 'A4169'}"
"Eutropius, active 4th century.","{'authorized_name': 'eutropius, active 4th century', 'author_id': 'A5295'}"
"Evrard, de Béthune.","{'authorized_name': 'evrard, de béthune', 'author_id': 'A5302'}"
"Fabricius, Georg, 1516-1571.","{'authorized_name': 'fabricius, georg, 1516-1571', 'author_id': 'A4033'}"
"Fabricius, Johann Albert 1668-1736.","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}"
"Fabricius, Johann Albert, 1668-1736,","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}"
"Fabricius, Johann Albert, 1668-1736.","{'authorized_name': 'fabricius, johann albert, 1668-1736', 'author_id': 'A5982'}"
"Facio, Bartolomeo, -1457.","{'authorized_name': 'facio, bartolomeo, -1457', 'author_id': 'A3971'}"
"Facio, Bartolomeo, d. 1457","{'authorized_name': 'facio, bartolomeo, -1457', 'author_id': 'A3971'}"
"Facrno, Gabriello, d. 1561.","{'authorized_name': 'faerno, gabriello, 1511-1561', 'author_id': 'A5999'}"
"Facundus Hermeanensis.","{'authorized_name': 'facundus, of hermiane', 'author_id': 'A5511'}"
