author,title,matched_title_fuzzy,fuzzy_title_score,correct
Vitruvius Pollio,"Marci Vitruvii Pollionis De architectura libri decem : ope codicis Guelferbytani, editionis principis, ceterorumque subsidiorum recensuit, et glossario in quo vocabula artis propria Germ. Ital. Gall. et Angl. / explicantur, illustravit Augustus Rode Dessaviensis.",de architectura,0.888888888888889,yes
Vitruvius Pollio.,Hoc in uolumine hæc opera continentur.  Cleonidæ harmonicum introductorium / interprete Georgio Valla Placentino.  L. Vitruuii Pollionis De architectura libri decem.  Sexti Iulii Frontini De aquæductibus liber unus.  Angeli policiani opusculum; quod Panepistomon inscribitur.  Angeli Policiani in priora analytica prælectio.  Cui titulus est Lamia.,de architectura,0.888888888888889,yes
Vitruvius Pollio.,Marci Vitruvii Pollionis De architectura libri decem / ex fide librorum scriptorum recensuit atque emendavit et in Germanicum sermonem vertit Carolus Lorentzen.,de architectura,0.888888888888889,yes
"Lucretius Carus, Titus",T. Lucreti Cari De rerum natura liber quintus; edited with introduction and notes by J.D. Duff ... Edited for the syndics of the University Press.,de rerum natura,0.888888888888889,yes
Livy,T. Livii Ab urbe condita lib. III-Vi qvae svpersvnt in codice rescripto Veronensi Descripsit et edidit Th. Mommsen. Ex commentationibvs Regiae academiae scientiarvm Berolinensis.,ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus","De rerum natura libri sex, quibus notas addidit Thomas Creech accedunt annotationes R. Bentleii, variae lectiones IV. edd. antiquissimarum neconon index locupletissimus.",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus",De rerum natura libri sex ex editione Gilberti Wakefieldi cum notis et interpretation in usum delphini variis lectionibus notis variorum recensu editionum et codicum et indice locupletissimo accurate recensiti / T. Lucretii Cari.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus",De rerum natura libri sex ad optimorum exemplarium fidem emendati / cum Richardi Bentleii animadversionibus Gilberti Wakefieldi ppraefationibus et commentariis integris caeterorumque interpretum praestantissimorum observationibus selectis edidit suas notas et indices copiosissimos adiecit Henr. Car. Abr. Eichstadt.,de rerum natura,0.888888888888889,yes
Livy,Ab urbe condita libri.,ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus.",Titi Lucretii Cari De rerum natura libri vi. Ad optimorum librorum fidem accurate editi. Accedit varietas lectionis et index latinitatis.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus",[T. Lucretii Cari] De rerum natura libri sex. Cum argumentis Mich.du Fay & castigationibus Tanaq.Fabri. Accurante Val.Pect.,de rerum natura,0.888888888888889,yes
Livy,"Titi Livi Ab urbe condita libri. Ed. primam curavit Giulelmus Weissenborn. Ed. altera, quam curavit Mauritius Müller ...",ab urbe condita,0.888888888888889,yes
Livy,Ab urbe condita libri XXI et XXII. Mit anmerkungen von ... Ernest Wilhelm Fabri ... Neu bearbeitet von ... Heinrich Wilhelm Heerwagen ...,ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucretii Cari De rerum natura libri sex; ad exemplar Gilberti Wakefield. A. B. cum ejusdem notis, commentariis, indicibus, fideliter excusi. Adjectae sunt editionum quinque, in quibus principis, Ferrandi, lectiones variantes omnes; ut et integrae Ricardi Bentleii annotationes, illustrationes, conjecturae, ex ipsius autographo, in Musaeo britannico conservato ...",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucreti Cari De rerum natura libri sex / with an introduction and notes to books I., III., and V. by Francis W. Kelsey.",de rerum natura,0.888888888888889,yes
Vitruvius Pollio.,"M. Vitruvii viri svae professionis peritissimi, De architectura libri decem, ad Augustum Caesarem accuratiss. conscripti: & nunc primum in Germania qua potuit diligentia excusi, atq; hinc inde schematibus non iniucundis exornati. Adiecimus etiam propter argumenti conformitatem, Sexti Ivlii Frontini De aquaeductibus urbis Romae, libellum. Item ex libro Nicolai Cusani card. De staticis experimentis, fragmentum. Cum indice copiosissimo, & dispositione longe meliori, quàm antea.",de architectura,0.888888888888889,yes
"Lucretius Carus, Titus.","De rerum natura libri VI, a Dion. Lambino ... recogniti, & longèmelioris facti, planéque iam in suam pristinam integritatem restituti, cum iisdem commentariis, plus quarta parte auctis. Accesservnt haec praetereavita Lucretij eodem Lambino auctore. Praeter eũ indicẽ, qui in omnibus aliis libris antè impressis poni solitus est, omnium rerum, quae à Lucretio singulis libris tractantur, ac disputantur, capita continens, indices alij duo.",de rerum natura,0.888888888888889,yes
Livy.,"Ab urbe condita liber XXI,XXII; texte latin publié avec une notice sur la vie et les ouvrages de Tite-Live, des notes critiques... un index des noms propres historiques et géographiques et des antiquités trois cartes et des illustrations d'apres les monuments par O. Riemann... et E. Benoist.",ab urbe condita,0.888888888888889,yes
"Livius, Titus Patavinus.","Ab urbe condita libri. Editionem primam curavit G. Weissenborn, editio altera, quam curavit M. Müller ... Pars I, fasc. 1, lib. I-III.",ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus.","De rerum natura libri sex, ex editione G. Wakefieldi, cum notis et interpretatione in usum Delphini variis lectionibus noti variorum recensu editionum et codi-cum et indice locupletissimo accurate recensiti ...",de rerum natura,0.888888888888889,yes
Livy.,Ab urbe condita libri / T. Livii ; recognovit Immanuel Bekkerus ; selectas virorum doctorum notas in usum scholarum addidit M. F. E. Raschig.,ab urbe condita,0.888888888888889,yes
"Livius, Titus Patavinus.","Ab urbe condita libri, recognovit I. Bekkerus. Selectas virorum doctorum notas in usum scholarum, addidit M.F.E. Raschig ...",ab urbe condita,0.888888888888889,yes
Vitruvius Pollio.,"M. Vitruuii ... De architectura libri decem ... : nunc primum in Germania qua potuit diligentia excusi, atq[ue] hinc inde schematibus non iniucundis exornati : adiecimus etiam propter argumenti conformitatem, Sexti Iulii Frontini De aquaeductibus urbis Romae, libellum, item ex libro Nicolai Cusani De staticis experimentis, fragmentum : cum indice copiosissimo, & dispositione longe meliori, quam antea.",de architectura,0.888888888888889,yes
Livy.,"Titi Livi Ab urbe condita libri, ed. primam curavit Guilelmus Weissenborn. Ed. altera, quam curavit Mauritius Müller ...",ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucreti Cari De rerum natura libri sex; with an introduction and notes to books I., III., and v. by Francis W. Kelsey ...",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri sex. Quibus notas addidit Thomas Creech, accedunt annotationes R. Bentleii, variae lectiones IV edd. antiquissimarum, necnon index locupletissimus.",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucreti Cari De rerum natura libri se with an introduction and notes to books I., III., and V. by Francis W. Kelsey ...",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.",Titi Lucretii Cari De rerum natura libri sex. Ad optimus editiones collati accedit varietas lectionis cum indice rarioris & obsoletae latinitatis studiis Societatis Bipontinae. Editio accurata.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri VI. Ad optimorum exemplarium veritatem exacti. Quae praeterea in hac nostra secunda patavina editione accesserint, subsequens epistola ad lectores declarat.",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri vI. Ad optimorum exemplarium veritatem exacti. Quae praeterea in hac patavina editione accesserint, epistolae subsequentis postremae paginae declarant.",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.",T. Lucretii Cari De rerum natura libri sex : Ad optimas editiones collati praemittitur notitia literaria / Accedit index rarioris et obsoletae latinitatis Studiis Societatis Bipontinae.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libros sex, interpretatione et notis illustravit Michael Fayus ... jussu christianissimi regis in usum serenissimi Delphini.",de rerum natura,0.888888888888889,yes
Livy.,Ab urbe condita libri.,ab urbe condita,0.888888888888889,yes
Vitruvius Pollio.,"M. Vitruvii Pollionis De architectura libri decem, ad optimas editiones collati praemittitur notitia literaria studiis Societatis Bipontinae. Accedit anonymi scriptoris veteris architecturae compendium cum indicibus.",de architectura,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucretii Cari De rerum natura libros sex : ad exemplarium mss. fidem recensitos, longe emendatiores reddidit / commentariis perpetuis illustravit indicibus instruxit; et cum animadversionibus Ricardi Bentleii, non ante vulgatis, aliorum subinde miscuit Gilbertus Wakefield.",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucretii Cari De rerum natura libri VI. A Dion. Lambino ... olim locis innumerabilibus ex auctoritate quinque codicum manu scriptorum emendati, ac ferè redintegrati, & commentariis illustrati: nunc ab eodem recogniti ... cum iisdem commentariis, plus quarta parte auctis ...",de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri sex: quibusinterpretationem et notas, addidit Thomas Creech ... accedunt variæ lectiones IV. edd. antiquissimarum necnon annotationes R. Bentleii.",de rerum natura,0.888888888888889,yes
Horace.,"Q. Horatii Flacii De arte poetica liber, quem interpretatione atque notis criticis et aestheticis illustravit et vernaculo tum Germanorum tum Bohemorum versu reddidit Simeon Carolus Machaček.",de arte poetica,0.888888888888889,yes
"Lucretius Carus, Titus.",Titi Lucretii Cari De rerum natura libri sex : ad optimas editiones collati : accedit varietas lectionis : cum indice rarioris et obsoletae Latinitatis / studiis Societatis Bipontinae.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus.","T. Lucretii Cari De rerum natura libri sex: ad exemplar Gilberti Wakefield, A.B. cum ejusdem notis, commentariis, indicibus, fideliter excusi. Adjectæ sunt editionum quinque, in quibus princips, Ferrandi, lectiones variantes omnes; ut et integræ Ricardi Bentleii annotationes, illustrationes, conjecturæ, ex ipsius autographo, in Musæo britannico conservato ...",de rerum natura,0.888888888888889,yes
